# RNAseq_stressmatched_transcriptcounts.txt - counts to transcripts from multiBamCov
# Run from process_RNAseq.Rmd
# RNA_stressmatched_StefanBresson2020, date 26-09-2020
seqname	source	feature	start	end	score	strand	frame	attributes	RNA_A_30	RNA_B_30	RNA_C_GE	RNA_D_GE	RNA_E_42	RNA_F_42
chrI	yeastutrgff	primary_transcript	118439	119566	.	-	.	ID=YAL018C_tx0	4	1	9	5	123	52
chrI	yeastutrgff	primary_transcript	114894	118439	.	+	.	ID=YAL019W_tx0	6461	4280	1895	1202	706	690
chrI	SGD	primary_transcript	113539	114637	.	-	.	ypd=3;ID=YAL020C_id006	1461	972	1062	770	573	616
chrI	SGD	primary_transcript	110776	113403	.	-	.	ypd=3;ID=YAL021C_id023	3887	2392	3130	1918	2038	1974
chrI	SGD	primary_transcript	108835	110446	.	-	.	ypd=88;ID=YAL022C_id100	4190	2793	2622	1848	1400	1580
chrI	SGD	primary_transcript	106157	108651	.	-	.	ypd=13;ID=YAL023C_id050	22533	14212	10201	6544	7977	7092
chrI	yeastutrgff	primary_transcript	101440	105897	.	-	.	ID=YAL024C_tx0	2835	1647	1744	1169	987	982
chrI	SGD	primary_transcript	100022	101168	.	-	.	ypd=53;ID=YAL025C_id050	6950	4457	1552	1087	527	384
chrI	yeastutrgff	primary_transcript	95505	99722	.	-	.	ID=YAL026C_tx0	8653	5669	4826	3344	3028	3333
chrI	SGD	primary_transcript	94595	95583	.	+	.	ypd=1;ID=YAL027W_id001	943	690	1179	817	487	513
chrI	SGD	primary_transcript	92836	94529	.	+	.	ypd=2;ID=YAL028W_id006	836	501	2681	1473	1672	1572
chrI	yeastutrgff	primary_transcript	87730	92295	.	-	.	ID=YAL029C_tx0	9687	6296	5417	3582	2113	2256
chrI	SGD	primary_transcript	87264	87862	.	+	.	ypd=40;ID=YAL030W_id112	1959	1204	1525	910	2322	2165
chrI	SGD	primary_transcript	84587	87031	.	-	.	ypd=2;ID=YAL031C_id003	2590	1589	3716	2475	2237	2283
chrI	SGD	primary_transcript	83209	84494	.	-	.	ypd=3;ID=YAL032C_id031	1325	881	1673	1120	959	876
chrI	SGD	primary_transcript	82688	83299	.	+	.	ypd=55;ID=YAL033W_id099	1247	788	711	482	238	212
chrI	SGD	primary_transcript	80563	82562	.	-	.	ypd=5;ID=YAL034C_id017	1881	1207	4480	2695	7086	5335
chrI	SGD	primary_transcript	79705	80675	.	+	.	ypd=3;ID=YAL034W-A_id028	921	600	810	543	281	249
chrI	SGD	primary_transcript	76401	79561	.	+	.	ypd=53;ID=YAL035W_id022	41964	26993	16439	11266	7337	6994
chrI	SGD	primary_transcript	75014	76184	.	-	.	ypd=66;ID=YAL036C_id137	7264	4843	2135	1395	529	426
chrI	SGD	primary_transcript	71759	73452	.	+	.	ypd=2960;ID=YAL038W_id231	378595	238887	232829	151072	121392	106750
chrI	SGD	primary_transcript	68647	69581	.	-	.	ypd=74;ID=YAL039C_id109	1360	925	2186	1423	570	599
chrI	SGD	primary_transcript	65601	67844	.	-	.	ypd=3;ID=YAL040C_id007	4768	2995	6116	3801	1704	1549
chrI	SGD	primary_transcript	62776	65463	.	+	.	ypd=2;ID=YAL041W_id004	4902	3180	3626	2493	3015	3017
chrI	SGD	primary_transcript	61300	62654	.	+	.	ypd=82;ID=YAL042W_id086	14010	9189	7389	5120	4131	4268
chrI	SGD	primary_transcript	58619	61094	.	-	.	ypd=4;ID=YAL043C_id004	4058	2533	3044	1765	1310	1500
chrI	SGD	primary_transcript	57868	58471	.	-	.	ypd=493;ID=YAL044C_id176	9573	6362	3751	2601	8547	8329
chrI	SGD	primary_transcript	56907	57415	.	-	.	ypd=38;ID=YAL046C_id059	1393	850	596	425	507	513
chrI	SGD	primary_transcript	54937	56883	.	-	.	ypd=2;ID=YAL047C_id010	1379	906	1036	684	684	619
chrI	yeastutrgff	primary_transcript	52676	54814	.	-	.	ID=YAL048C_tx0	1699	1079	1548	1081	706	795
chrI	SGD	primary_transcript	51719	52661	.	-	.	ypd=89;ID=YAL049C_id111	3240	2263	2409	1601	2919	2957
chrI	yeastutrgff	primary_transcript	48539	51832	.	+	.	ID=YAL051W_tx0	2791	1807	3384	2159	2311	2251
chrI	SGD	primary_transcript	45849	48322	.	+	.	ypd=2;ID=YAL053W_id019	6309	4151	3169	2236	3815	3917
chrI	yeastutrgff	primary_transcript	42756	45047	.	-	.	ID=YAL054C_tx0	568	377	4532	2816	1404	1926
chrI	SGD	primary_transcript	42170	42790	.	+	.	ypd=5;ID=YAL055W_id050	911	597	1068	749	811	736
chrI	SGD	primary_transcript	39234	42040	.	+	.	ypd=1;ID=YAL056W_id006	5163	3498	6168	4224	2895	2934
chrI	SGD	primary_transcript	37415	39163	.	+	.	ypd=2;ID=YAL058W_id002	2112	1494	1173	868	767	813
chrI	SGD	primary_transcript	36487	37344	.	+	.	ypd=3;ID=YAL059W_id004	2353	1576	742	536	234	206
chrI	SGD	primary_transcript	35107	36387	.	+	.	ypd=21;ID=YAL060W_id087	9474	6220	14964	10287	39454	32721
chrI	SGD	primary_transcript	31517	33015	.	+	.	ypd=3;ID=YAL062W_id004	277	151	476	269	427	396
chrI	yeastutrgff	primary_transcript	23875	27993	.	-	.	ID=YAL063C_tx0	258	161	317	177	183	185
chrI	yeastutrgff	primary_transcript	21541	21975	.	+	.	ID=YAL064W_tx0	12	8	16	15	16	8
chrI	yeastutrgff	primary_transcript	7110	9041	.	-	.	ID=YAL067C_tx0	152	93	88	49	56	41
chrI	yeastutrgff	primary_transcript	1682	2194	.	-	.	ID=YAL068C_tx0	5	4	6	5	3	4
chrI	SGD	primary_transcript	153989	154740	.	-	.	ypd=157;ID=YAR002C-A_id307	9427	6113	4884	3285	2841	2573
chrI	SGD	primary_transcript	152217	153898	.	+	.	ypd=4;ID=YAR002W_id022	5181	3356	3373	2136	1150	1204
chrI	SGD	primary_transcript	154951	156780	.	+	.	ypd=3;ID=YAR003W_id015	3669	2453	2615	1811	1188	1213
chrI	SGD	primary_transcript	156681	158682	.	-	.	ypd=7;ID=YAR007C_id014	6206	4153	3990	2803	4437	4249
chrI	SGD	primary_transcript	158864	159890	.	+	.	ypd=11;ID=YAR008W_id033	1862	1251	620	406	367	321
chrI	SGD	primary_transcript	166565	169019	.	-	.	ypd=1;ID=YAR014C_id002	7099	4721	4526	3083	1928	2117
chrI	SGD	primary_transcript	169286	170390	.	+	.	ypd=198;ID=YAR015W_id334	9468	6171	5267	3536	1679	1788
chrI	SGD	primary_transcript	170177	171715	.	-	.	ypd=3;ID=YAR018C_id002	1652	1040	688	460	581	581
chrI	yeastutrgff	primary_transcript	172086	175160	.	-	.	ID=YAR019C_tx0	1553	959	2205	1386	2024	1946
chrI	yeastutrgff	primary_transcript	176731	177048	.	-	.	ID=YAR020C_tx0	185	121	202	119	202	165
chrI	SGD	primary_transcript	183668	184655	.	+	.	ypd=9;ID=YAR027W_id016	2798	1858	3903	2792	3715	3457
chrI	yeastutrgff	primary_transcript	186811	187857	.	+	.	ID=YAR031W_tx0	462	278	486	315	580	566
chrI	SGD	primary_transcript	188043	188926	.	+	.	ypd=22;ID=YAR033W_id010	601	408	499	314	247	257
chrI	SGD	primary_transcript	190156	192365	.	+	.	ypd=1;ID=YAR035W_id001	558	345	609	408	623	559
chrI	SGD	primary_transcript	192583	196349	.	+	.	ypd=1;ID=YAR042W_id001	5118	3060	6109	3822	3964	4269
chrI	yeastutrgff	primary_transcript	203378	208141	.	+	.	ID=YAR050W_tx0	519	336	596	358	213	226
chrI	yeastutrgff	primary_transcript	225435	226988	.	+	.	ID=YAR071W_tx0	1062	771	912	608	439	451
chrII	SGD	primary_transcript	237078	237478	.	-	.	ypd=1088;ID=YBL001C_id772	5265	3651	2824	2075	4871	4608
chrII	SGD	primary_transcript	236469	237079	.	+	.	ypd=5251;ID=YBL002W_id1174	28566	19111	17246	11249	6183	6216
chrII	SGD	primary_transcript	235221	235819	.	-	.	ypd=976;ID=YBL003C_id739	35376	23191	21496	14595	6971	7088
chrII	yeastutrgff	primary_transcript	227611	235242	.	+	.	ID=YBL004W_tx0	10397	6713	3810	2668	965	788
chrII	yeastutrgff	primary_transcript	217445	220525	.	+	.	ID=YBL005W_tx0	1981	1284	1626	1073	950	1123
chrII	SGD	primary_transcript	216405	217137	.	-	.	ypd=109;ID=YBL006C_id234	2796	1880	2086	1507	1282	1317
chrII	SGD	primary_transcript	212467	216418	.	-	.	ypd=9;ID=YBL007C_id008	15555	9716	13285	8329	13484	13121
chrII	SGD	primary_transcript	209587	212279	.	+	.	ypd=1;ID=YBL008W_id002	2609	1633	1166	827	872	911
chrII	SGD	primary_transcript	207172	209353	.	+	.	ypd=2;ID=YBL009W_id013	3725	2442	1558	1004	421	373
chrII	SGD	primary_transcript	203437	206022	.	+	.	ypd=9;ID=YBL011W_id006	7401	4650	7128	4341	6022	5491
chrII	yeastutrgff	primary_transcript	202031	203386	.	+	.	ID=YBL013W_tx0	440	256	454	278	232	251
chrII	SGD	primary_transcript	198923	201777	.	-	.	ypd=1;ID=YBL014C_id003	3076	2006	1961	1324	1464	1282
chrII	SGD	primary_transcript	193953	195980	.	+	.	ypd=2;ID=YBL015W_id001	2843	1713	5760	3582	9502	7200
chrII	yeastutrgff	primary_transcript	192426	193637	.	+	.	ID=YBL016W_tx0	2770	1811	1264	863	378	346
chrII	yeastutrgff	primary_transcript	186719	191608	.	-	.	ID=YBL017C_tx0	13445	8989	10369	7164	5596	5593
chrII	SGD	primary_transcript	185962	186515	.	-	.	ypd=52;ID=YBL018C_id215	1723	1112	442	249	229	209
chrII	SGD	primary_transcript	184283	186031	.	+	.	ypd=2;ID=YBL019W_id001	1196	742	1563	1101	1171	1054
chrII	SGD	primary_transcript	182346	184226	.	+	.	ypd=3;ID=YBL020W_id006	3419	2171	1725	1168	952	918
chrII	SGD	primary_transcript	181490	182118	.	-	.	ypd=42;ID=YBL021C_id097	924	616	604	461	302	267
chrII	SGD	primary_transcript	177793	181402	.	-	.	ypd=3;ID=YBL022C_id002	11986	7834	8252	5449	10689	11352
chrII	SGD	primary_transcript	174746	177643	.	-	.	ypd=4;ID=YBL023C_id001	3487	2344	1619	1022	1382	1362
chrII	SGD	primary_transcript	172511	174839	.	+	.	ypd=4;ID=YBL024W_id014	8839	5629	2776	1844	691	704
chrII	SGD	primary_transcript	171423	172382	.	+	.	ypd=6;ID=YBL025W_id024	1489	942	1360	900	437	455
chrII	SGD	primary_transcript	170568	171168	.	+	.	ypd=12;ID=YBL026W_id088	3700	2483	2424	1688	824	789
chrII	SGD	primary_transcript	168392	169460	.	+	.	ypd=3348;ID=YBL027W_id429	71786	46183	28612	18939	4196	3443
chrII	SGD	primary_transcript	167429	167885	.	-	.	ypd=22;ID=YBL028C_id145	4194	2799	1226	779	325	262
chrII	SGD	primary_transcript	164386	164869	.	-	.	ypd=14;ID=YBL029C-A_id225	1132	797	3761	2538	1331	1041
chrII	SGD	primary_transcript	162741	164118	.	-	.	ypd=71;ID=YBL030C_id185	26838	16913	12392	7691	14953	13494
chrII	SGD	primary_transcript	161665	162874	.	+	.	ypd=9;ID=YBL031W_id008	1194	785	691	490	389	350
chrII	SGD	primary_transcript	160092	161509	.	+	.	ypd=54;ID=YBL032W_id037	8636	5500	4933	3270	2090	1944
chrII	SGD	primary_transcript	158589	159721	.	-	.	ypd=7;ID=YBL033C_id018	1980	1393	3285	2252	1132	1131
chrII	yeastutrgff	primary_transcript	153723	158414	.	-	.	ID=YBL034C_tx0	3000	1944	2210	1487	1314	1236
chrII	SGD	primary_transcript	151447	153688	.	-	.	ypd=3;ID=YBL035C_id007	3063	1977	1132	753	574	506
chrII	SGD	primary_transcript	150301	151228	.	-	.	ypd=49;ID=YBL036C_id097	5909	3864	2426	1728	2271	2071
chrII	yeastutrgff	primary_transcript	147184	150411	.	+	.	ID=YBL037W_tx0	3166	2110	2908	1915	1038	1223
chrII	SGD	primary_transcript	146124	146943	.	+	.	ypd=99;ID=YBL038W_id185	2330	1487	2097	1566	1408	1416
chrII	SGD	primary_transcript	143886	145807	.	-	.	ypd=45;ID=YBL039C_id041	16307	10613	4278	2993	947	735
chrII	SGD	primary_transcript	142045	142911	.	-	.	ypd=2451;ID=YBL040C_id501	5095	3288	3545	2460	3184	2846
chrII	SGD	primary_transcript	141212	142018	.	+	.	ypd=96;ID=YBL041W_id339	8454	5529	5525	3981	7653	7340
chrII	SGD	primary_transcript	138290	140316	.	-	.	ypd=38;ID=YBL042C_id030	6268	4193	2480	1745	287	273
chrII	SGD	primary_transcript	136557	137655	.	+	.	ypd=4;ID=YBL043W_id003	126	65	444	303	67	51
chrII	SGD	primary_transcript	133961	135702	.	-	.	ypd=4;ID=YBL045C_id043	12350	8235	13873	9729	14202	12505
chrII	SGD	primary_transcript	132424	133927	.	+	.	ypd=2;ID=YBL046W_id007	2421	1634	2524	1821	1291	1127
chrII	SGD	primary_transcript	127672	132169	.	-	.	ypd=1;ID=YBL047C_id001	15091	9274	14763	9079	13876	14324
chrII	yeastutrgff	primary_transcript	126803	127369	.	+	.	ID=YBL049W_tx0	69	63	223	119	733	606
chrII	SGD	primary_transcript	125076	126186	.	+	.	ypd=55;ID=YBL050W_id081	5000	3347	4756	3228	4745	4522
chrII	SGD	primary_transcript	122302	124822	.	-	.	ypd=2;ID=YBL051C_id005	7808	5053	4747	3147	4153	3948
chrII	yeastutrgff	primary_transcript	119254	121899	.	-	.	ID=YBL052C_tx0	5463	3573	2059	1456	882	881
chrII	SGD	primary_transcript	117474	119384	.	+	.	ypd=3;ID=YBL054W_id005	2316	1475	842	498	249	208
chrII	SGD	primary_transcript	115479	116837	.	-	.	ypd=5;ID=YBL055C_id025	2014	1398	1179	834	585	558
chrII	SGD	primary_transcript	113651	115564	.	+	.	ypd=21;ID=YBL056W_id030	13402	8968	10979	7506	9516	9254
chrII	SGD	primary_transcript	112728	113447	.	-	.	ypd=74;ID=YBL057C_id107	2849	1808	1249	883	1247	1171
chrII	SGD	primary_transcript	111409	112825	.	+	.	ypd=19;ID=YBL058W_id032	9406	6249	7102	4949	8160	8214
chrII	SGD	primary_transcript	109982	110571	.	-	.	ypd=8;ID=YBL059C-A_id211	1318	939	1091	777	859	880
chrII	SGD	primary_transcript	107701	110033	.	+	.	ypd=1;ID=YBL060W_id001	1763	1217	1217	807	782	895
chrII	SGD	primary_transcript	105261	107515	.	-	.	ypd=4;ID=YBL061C_id017	5927	3903	3436	2359	2007	2081
chrII	yeastutrgff	primary_transcript	101861	105346	.	+	.	ID=YBL063W_tx0	2837	1865	2234	1555	1236	1317
chrII	SGD	primary_transcript	100299	101188	.	-	.	ypd=60;ID=YBL064C_id048	3236	2170	8893	6109	15081	13653
chrII	yeastutrgff	primary_transcript	96544	100140	.	-	.	ID=YBL066C_tx0	2243	1361	2416	1448	1323	1227
chrII	yeastutrgff	primary_transcript	93514	95907	.	-	.	ID=YBL067C_tx0	4227	2677	3647	2441	1779	1873
chrII	SGD	primary_transcript	92382	93483	.	+	.	ypd=295;ID=YBL068W_id205	3728	2438	1787	1238	381	333
chrII	SGD	primary_transcript	90660	92111	.	+	.	ypd=9;ID=YBL069W_id013	2812	1761	1262	730	619	548
chrII	SGD	primary_transcript	89943	90676	.	+	.	ypd=63;ID=YBL071W-A_id046	1410	907	417	287	266	210
chrII	SGD	primary_transcript	88403	89464	.	-	.	ypd=155;ID=YBL072C_id265	90505	59706	34320	23801	7292	5918
chrII	SGD	primary_transcript	86433	87808	.	-	.	ypd=2;ID=YBL074C_id001	1169	763	851	579	808	848
chrII	SGD	primary_transcript	84418	86617	.	-	.	ypd=2;ID=YBL075C_id004	3039	1948	3525	2335	93388	78120
chrII	SGD	primary_transcript	80947	84277	.	-	.	ypd=14;ID=YBL076C_id043	57040	37671	25179	17835	4719	4362
chrII	SGD	primary_transcript	80273	80775	.	-	.	ypd=8;ID=YBL078C_id103	619	448	2455	1584	4461	3675
chrII	yeastutrgff	primary_transcript	75234	79892	.	+	.	ID=YBL079W_tx0	10440	6785	5808	3947	2186	2353
chrII	SGD	primary_transcript	72965	74730	.	-	.	ypd=3;ID=YBL080C_id012	1256	856	1686	1174	945	1007
chrII	SGD	primary_transcript	69715	71173	.	-	.	ypd=3;ID=YBL082C_id003	2816	1720	1380	885	236	222
chrII	yeastutrgff	primary_transcript	67044	69470	.	-	.	ID=YBL084C_tx0	2388	1692	3131	2156	2186	2276
chrII	SGD	primary_transcript	63674	66938	.	+	.	ypd=1;ID=YBL085W_id001	7269	4726	5151	3599	4136	3939
chrII	SGD	primary_transcript	59717	60762	.	-	.	ypd=1233;ID=YBL087C_id662	36721	24145	10998	7575	2554	2067
chrII	yeastutrgff	primary_transcript	50894	59407	.	-	.	ID=YBL088C_tx0	3697	2417	3850	2638	1304	1323
chrII	SGD	primary_transcript	49510	51016	.	+	.	ypd=9;ID=YBL089W_id019	1447	956	1597	1100	737	756
chrII	SGD	primary_transcript	48794	49481	.	+	.	ypd=10;ID=YBL090W_id038	1799	1208	1636	1143	919	890
chrII	SGD	primary_transcript	47263	48650	.	-	.	ypd=36;ID=YBL091C_id070	10919	7215	6710	4280	4339	4034
chrII	SGD	primary_transcript	46433	47201	.	-	.	ypd=4;ID=YBL091C-A_id024	804	530	1252	760	1317	1185
chrII	SGD	primary_transcript	45613	46517	.	+	.	ypd=3298;ID=YBL092W_id241	101447	65516	37708	24559	8450	6544
chrII	SGD	primary_transcript	44106	44998	.	-	.	ypd=64;ID=YBL093C_id076	3109	2029	2166	1458	1210	1052
chrII	yeastutrgff	primary_transcript	40806	43220	.	+	.	ID=YBL097W_tx0	1909	1317	1479	973	594	585
chrII	yeastutrgff	primary_transcript	39120	40652	.	+	.	ID=YBL098W_tx0	2273	1572	1836	1227	741	655
chrII	SGD	primary_transcript	36733	38922	.	+	.	ypd=45;ID=YBL099W_id029	32951	19974	24477	15495	17605	17064
chrII	SGD	primary_transcript	24777	28406	.	-	.	ypd=2;ID=YBL101C_id001	2710	1656	3828	2538	4476	4437
chrII	SGD	primary_transcript	24010	24938	.	+	.	ypd=74;ID=YBL102W_id124	4489	3050	2603	1888	3348	3451
chrII	SGD	primary_transcript	21573	23790	.	-	.	ypd=1;ID=YBL103C_id001	3452	2303	3099	2081	1350	1384
chrII	SGD	primary_transcript	18152	21299	.	-	.	ypd=2;ID=YBL104C_id003	2977	1924	1708	1110	1058	1091
chrII	SGD	primary_transcript	14104	17962	.	-	.	ypd=7;ID=YBL105C_id002	6683	4452	6637	4447	2903	3168
chrII	yeastutrgff	primary_transcript	10722	13904	.	-	.	ID=YBL106C_tx0	1871	1195	949	633	337	344
chrII	SGD	primary_transcript	9835	10551	.	-	.	ypd=39;ID=YBL107C_id083	1478	949	1306	906	905	756
chrII	yeastutrgff	primary_transcript	7480	7758	.	-	.	ID=YBL108C-A_tx0	21	21	10	15	16	5
chrII	yeastutrgff	primary_transcript	2782	5034	.	-	.	ID=YBL111C_tx0	1696	1046	1176	650	667	753
chrII	SGD	primary_transcript	238783	241433	.	-	.	ypd=2;ID=YBR001C_id003	3936	2578	11400	7920	8280	8283
chrII	SGD	primary_transcript	241589	242589	.	-	.	ypd=6;ID=YBR002C_id083	2310	1544	1715	1107	1235	829
chrII	SGD	primary_transcript	242780	244357	.	+	.	ypd=10;ID=YBR003W_id017	3384	2310	4380	3011	3772	3378
chrII	SGD	primary_transcript	244273	245683	.	-	.	ypd=28;ID=YBR004C_id024	1738	1177	1019	725	529	466
chrII	SGD	primary_transcript	245817	246698	.	+	.	ypd=10;ID=YBR005W_id026	887	575	661	436	696	639
chrII	SGD	primary_transcript	246879	248645	.	+	.	ypd=4;ID=YBR006W_id006	2110	1407	3458	2402	4503	4466
chrII	SGD	primary_transcript	248623	251106	.	-	.	ypd=3;ID=YBR007C_id001	2401	1482	1726	1096	1509	1347
chrII	SGD	primary_transcript	252403	254427	.	-	.	ypd=7;ID=YBR008C_id017	1872	1143	1570	1064	664	615
chrII	SGD	primary_transcript	255199	255720	.	-	.	ypd=648;ID=YBR009C_id747	42672	28688	29644	19677	14547	12512
chrII	SGD	primary_transcript	256303	256904	.	+	.	ypd=182;ID=YBR010W_id081	28313	19269	22382	14582	9733	8137
chrII	SGD	primary_transcript	257000	258006	.	-	.	ypd=2511;ID=YBR011C_id132	43433	27880	20113	12611	21441	18313
chrII	SGD	primary_transcript	266614	267432	.	-	.	ypd=46;ID=YBR014C_id078	3670	2381	2991	2085	2721	2655
chrII	SGD	primary_transcript	267568	269631	.	-	.	ypd=11;ID=YBR015C_id039	9567	6019	6072	3846	3560	3218
chrII	SGD	primary_transcript	270198	270840	.	+	.	ypd=471;ID=YBR016W_id114	2888	1879	2324	1403	2321	2123
chrII	SGD	primary_transcript	270845	273765	.	-	.	ypd=3;ID=YBR017C_id007	9332	6107	4991	3518	2810	2877
chrII	yeastutrgff	primary_transcript	274302	275552	.	-	.	ID=YBR018C_tx0	217	183	791	517	927	696
chrII	yeastutrgff	primary_transcript	276128	278377	.	-	.	ID=YBR019C_tx0	125	71	170	90	240	175
chrII	yeastutrgff	primary_transcript	278996	280732	.	+	.	ID=YBR020W_tx0	605	398	738	370	323	250
chrII	SGD	primary_transcript	281307	283526	.	+	.	ypd=4;ID=YBR021W_id012	2106	1399	600	485	224	209
chrII	SGD	primary_transcript	283655	284433	.	+	.	ypd=10;ID=YBR022W_id014	1079	799	877	602	1199	1099
chrII	SGD	primary_transcript	284226	288054	.	-	.	ypd=2;ID=YBR023C_id001	9361	5938	4681	3248	2570	2736
chrII	SGD	primary_transcript	289332	290352	.	+	.	ypd=110;ID=YBR024W_id196	1299	878	2034	1424	1454	1370
chrII	SGD	primary_transcript	290470	291902	.	-	.	ypd=120;ID=YBR025C_id381	41979	27216	22118	14883	31026	26637
chrII	SGD	primary_transcript	292762	294022	.	-	.	ypd=15;ID=YBR026C_id097	5471	3660	5084	3555	10460	10615
chrII	SGD	primary_transcript	294250	296056	.	-	.	ypd=3;ID=YBR028C_id011	3532	2225	1827	1221	958	907
chrII	SGD	primary_transcript	296238	297774	.	-	.	ypd=13;ID=YBR029C_id061	8258	5165	2313	1527	1651	1921
chrII	SGD	primary_transcript	298232	300006	.	+	.	ypd=7;ID=YBR030W_id019	2702	1739	1372	883	380	393
chrII	SGD	primary_transcript	300150	301342	.	+	.	ypd=1992;ID=YBR031W_id275	102829	65836	57930	38429	5530	4780
chrII	SGD	primary_transcript	304740	305990	.	-	.	ypd=11;ID=YBR034C_id078	5715	3574	1263	913	578	530
chrII	SGD	primary_transcript	306139	306985	.	-	.	ypd=61;ID=YBR035C_id054	7280	4905	5813	4039	5101	4969
chrII	SGD	primary_transcript	308887	310362	.	-	.	ypd=5;ID=YBR036C_id025	7039	4662	6819	4713	5316	5117
chrII	SGD	primary_transcript	310495	311501	.	-	.	ypd=15;ID=YBR037C_id023	1298	803	2105	1304	828	841
chrII	SGD	primary_transcript	311857	314979	.	+	.	ypd=1;ID=YBR038W_id003	6134	3964	2646	1647	1527	1884
chrII	SGD	primary_transcript	315488	316688	.	+	.	ypd=5;ID=YBR039W_id024	10661	7105	6695	4542	8605	7217
chrII	yeastutrgff	primary_transcript	316943	317989	.	+	.	ID=YBR040W_tx0	101	59	60	45	9	11
chrII	SGD	primary_transcript	318218	320450	.	+	.	ypd=4;ID=YBR041W_id006	6469	4319	4206	2805	3044	2937
chrII	SGD	primary_transcript	320349	321645	.	-	.	ypd=19;ID=YBR042C_id046	3553	2429	1683	1154	1262	1258
chrII	SGD	primary_transcript	321729	324071	.	-	.	ypd=3;ID=YBR043C_id005	5903	4013	5947	4129	1323	1379
chrII	SGD	primary_transcript	324283	326116	.	-	.	ypd=3;ID=YBR044C_id005	2094	1369	2171	1569	1261	1399
chrII	yeastutrgff	primary_transcript	328048	330117	.	-	.	ID=YBR045C_tx0	590	341	882	571	1179	1076
chrII	SGD	primary_transcript	330463	331582	.	-	.	ypd=11;ID=YBR046C_id079	2364	1517	3032	1973	4766	5230
chrII	SGD	primary_transcript	332816	334037	.	+	.	ypd=8982;ID=YBR048W_id880	52263	33537	20052	12696	4482	3462
chrII	SGD	primary_transcript	334141	336865	.	-	.	ypd=3;ID=YBR049C_id017	8234	5222	7963	5238	4795	4446
chrII	SGD	primary_transcript	337145	338460	.	-	.	ypd=2;ID=YBR050C_id001	81	62	812	546	84	62
chrII	SGD	primary_transcript	338663	339416	.	-	.	ypd=30;ID=YBR052C_id097	5383	3566	8448	5795	14209	12544
chrII	SGD	primary_transcript	342791	344512	.	+	.	ypd=3;ID=YBR054W_id005	4697	3201	10643	7251	36558	27923
chrII	SGD	primary_transcript	344511	347308	.	-	.	ypd=2;ID=YBR055C_id006	3814	2469	2848	1936	1271	1372
chrII	SGD	primary_transcript	347824	349428	.	+	.	ypd=3;ID=YBR056W_id014	5265	3521	8806	5992	12670	11816
chrII	SGD	primary_transcript	352089	353383	.	-	.	ypd=6;ID=YBR057C_id039	2618	1866	2717	1790	1042	1047
chrII	SGD	primary_transcript	353656	356091	.	-	.	ypd=1;ID=YBR058C_id002	4927	3368	3808	2533	2194	2272
chrII	SGD	primary_transcript	356153	356625	.	-	.	ypd=366;ID=YBR058C-A_id232	4358	2887	2489	1700	2171	1974
chrII	SGD	primary_transcript	356762	360234	.	-	.	ypd=1;ID=YBR059C_id004	6935	4532	8470	5682	7367	7574
chrII	SGD	primary_transcript	360589	362638	.	-	.	ypd=1;ID=YBR060C_id001	2944	1865	2467	1608	1321	1111
chrII	SGD	primary_transcript	364634	365726	.	-	.	ypd=18;ID=YBR061C_id069	2645	1687	885	577	220	221
